Time[s],ENS,Trigger,IGN,SAFING
0.000000000000000, 1, 0, 1, 0
0.085369300000000, 1, 0, 1, 0
0.105374380000000, 1, 0, 1, 0
0.205368880000000, 0, 0, 1, 0
0.225374000000000, 1, 0, 1, 0
0.325368400000000, 0, 0, 1, 0
0.345373420000000, 1, 0, 1, 0
0.445367920000000, 0, 0, 1, 0
0.465373060000000, 1, 0, 1, 0
0.565367280000000, 0, 0, 1, 0
0.585372240000000, 1, 0, 1, 0
0.685366640000000, 0, 0, 1, 0
0.705371720000000, 1, 0, 1, 0
0.805366180000000, 0, 0, 1, 0
0.825371420000000, 1, 0, 1, 0
0.925365740000000, 0, 0, 1, 0
0.945370820000000, 1, 0, 1, 0
1.045365260000000, 0, 0, 1, 0
1.065370220000000, 1, 0, 1, 0
1.165364560000000, 0, 0, 1, 0
1.185369680000000, 1, 0, 1, 0
1.285364060000000, 0, 0, 1, 0
1.305369140000000, 1, 0, 1, 0
1.405363480000000, 0, 0, 1, 0
1.425368840000000, 1, 0, 1, 0
1.525363000000000, 0, 0, 1, 0
1.545368000000000, 1, 0, 1, 0
1.645362580000000, 0, 0, 1, 0
1.665367540000000, 1, 0, 1, 0
1.765362000000000, 0, 0, 1, 0
1.785367080000000, 1, 0, 1, 0
1.885361420000000, 0, 0, 1, 0
1.905366560000000, 1, 0, 1, 0
2.005361020000000, 0, 0, 1, 0
2.025366100000000, 1, 0, 1, 0
2.125360440000000, 0, 0, 1, 0
2.145365640000000, 1, 0, 1, 0
2.245359880000000, 0, 0, 1, 0
2.265365120000000, 1, 0, 1, 0
2.365359320000000, 0, 0, 1, 0
2.385364440000000, 1, 0, 1, 0
2.485358840000000, 0, 0, 1, 0
2.505363920000000, 1, 0, 1, 0
2.605358280000000, 0, 0, 1, 0
2.625363360000000, 1, 0, 1, 0
2.725357780000000, 0, 0, 1, 0
2.745362880000000, 1, 0, 1, 0
2.845357260000000, 0, 0, 1, 0
2.865362260000000, 1, 0, 1, 0
2.965356880000000, 0, 0, 1, 0
2.985361840000000, 1, 0, 1, 0
3.085356080000000, 0, 0, 1, 0
3.105361340000000, 1, 0, 1, 0
3.205355620000000, 0, 0, 1, 0
3.225360700000000, 1, 0, 1, 0
3.270311240000000, 1, 1, 1, 0
3.271251320000000, 1, 1, 1, 1
3.296855400000000, 0, 1, 1, 1
3.320382480000000, 0, 0, 1, 1
3.320382500000000, 0, 1, 1, 1
3.320382520000000, 0, 0, 1, 1
3.496859460000000, 1, 0, 1, 1
3.596853980000000, 0, 0, 1, 1
3.671613080000000, 0, 0, 1, 0
3.796858040000000, 1, 0, 1, 0
3.896852720000000, 0, 0, 1, 0
4.096856880000000, 1, 0, 1, 0
4.196851400000000, 0, 0, 1, 0
4.216856560000000, 1, 0, 1, 0
4.316851000000000, 0, 0, 1, 0
4.336856180000000, 1, 0, 1, 0
4.436850460000000, 0, 0, 1, 0
4.456855700000000, 1, 0, 1, 0
4.556849880000000, 0, 0, 1, 0
4.576855060000000, 1, 0, 1, 0
4.676849380000000, 0, 0, 1, 0
4.696854640000000, 1, 0, 1, 0
4.796848840000000, 0, 0, 1, 0
4.816853980000000, 1, 0, 1, 0
4.916848300000000, 0, 0, 1, 0
4.936853360000000, 1, 0, 1, 0
5.036847840000000, 0, 0, 1, 0
5.056852340000000, 1, 0, 1, 0
5.056852360000000, 0, 0, 1, 0
5.056852960000001, 1, 0, 1, 0
5.156847300000000, 0, 0, 1, 0
5.176852200000000, 1, 0, 1, 0
5.276846780000001, 0, 0, 1, 0
5.296851960000000, 1, 0, 1, 0
5.396846180000000, 0, 0, 1, 0
5.416851500000000, 1, 0, 1, 0
5.516845680000000, 0, 0, 1, 0
5.536851020000000, 1, 0, 1, 0
5.636845240000000, 0, 0, 1, 0
5.656850360000000, 1, 0, 1, 0
5.756844860000000, 0, 0, 1, 0
5.776849920000000, 1, 0, 1, 0
5.876844240000000, 0, 0, 1, 0
5.896849340000000, 1, 0, 1, 0
5.996843720000000, 0, 0, 1, 0
6.016848720000000, 1, 0, 1, 0
6.116843200000000, 0, 0, 1, 0
6.136848380000000, 1, 0, 1, 0
6.236842680000001, 0, 0, 1, 0
6.256847780000000, 1, 0, 1, 0
6.356842140000000, 0, 0, 1, 0
6.376847240000000, 1, 0, 1, 0
6.476841680000000, 0, 0, 1, 0
6.496846640000000, 1, 0, 1, 0
6.596841060000000, 0, 0, 1, 0
6.616846180000000, 1, 0, 1, 0
6.716840760000000, 0, 0, 1, 0
6.736845740000001, 1, 0, 1, 0
6.836840180000000, 0, 0, 1, 0
6.856845180000001, 1, 0, 1, 0
6.956839620000000, 0, 0, 1, 0
6.976844740000000, 1, 0, 1, 0
7.076839120000000, 0, 0, 1, 0
7.096844140000000, 1, 0, 1, 0
7.196838520000000, 0, 0, 1, 0
7.216843780000000, 1, 0, 1, 0
7.316838100000000, 0, 0, 1, 0
7.336843300000000, 1, 0, 1, 0
7.436837560000000, 0, 0, 1, 0
7.456842560000000, 1, 0, 1, 0
7.556837160000000, 0, 0, 1, 0
7.576842280000000, 1, 0, 1, 0
7.676836500000000, 3, 0, 1, 0
7.696841760000000, 4, 0, 1, 0
7.796836020000000, 0, 0, 1, 0
7.816841020000000, 1, 0, 1, 0
