"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat May 27 19:45:08 CST 2023","Sat May 27 19:45:08 CST 2023","0","","test_report3","","","","test_example",""
"broken","Sat May 27 19:45:08 CST 2023","Sat May 27 19:45:08 CST 2023","0","","test_report3","","","","test_step",""
"broken","Sat May 27 19:45:08 CST 2023","Sat May 27 19:45:08 CST 2023","0","","test_report3","","","","test_another_example",""
